,,,,,,,,,,,,,,,,,,,,,,,,,,,,,article_tree1
,,,,,,Parent Code  ->,,-> Child Code,,,,,,,,,,,,,,,,,,,,,fashion|shirts
,123,NK,W,01,01,001,-,XS,,123NKW0101001-XS,,,Season,,,Brand,,,Category,,,Colour,,,,,,,voo archive|clothing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voo archive|clothing
,Season,Brand,Gender,Category,Colour,Product nr.,,Size,,,,,SS,1,,Editions M.R,01,,Outerwear,01,,Black,01,,,,,,voo archive|clothing
,,,,,,,,,,,,,AW,2,,Etudes,02,,Knitwear,02,,White,10,,,,,,voo archive|clothing
,,,,,,,,,,,,,and year,23,,032c,ZC,,Sweatshirts and Hoodies,03,,Grey,02,,,,,,voo archive|clothing
,123,NK,U,01,01,,,XS,,,,,,24,,1 Granary,03,,Tops (/ T-shirts),04,,Yellow,03,,,,,,voo archive|clothing
,223,PR,W,02,02,002,,0S,,,,,CarryOver,300,,19-69,NS,,Shirts,05,,Beige,04,,,,,,voo archive|clothing
,124,MU,M,03,03,003,,0M,,,,,Archive,400,,1O SOUL,04,,Dresses,06,,Green,05,,,,,,voo archive|clothing
,224,,,,,004,,0L,,,,,,,,3.1 Phillip Lim,05,,Skirts,07,,Blue,06,,,,,,
,300,,,,,005,,XL,,,,,,,,a c t e TM,06,,Trousers,08,,Navy,07,,,,,,voo archive|clothing
,400,,,,,,,07,,,,,* Examples,,,A Kind of Guise,AK,,Shorts,09,,Purple,08,,,,,,voo archive|clothing
,,,,,,,,08,,,,,SS22,122,,A Magazine,AT,,Denim,10,,Pink,09,,,,,,
,,,,,,,,09,,,,,AW22,222,,A. ROEGE HOVE,RH,,Sportswear,11,,Red,11,,,,,,voo archive|footwear
,,,,,,,,40,,,,,SS23,123,,A.P.C.,AP,,Swimwear,12,,Orange,12,,,,,,voo archive|footwear
,,,,,,,,41,,,,,AW23,223,,Abel Odor,AB,,Underwear,13,,Brown,13,,,,,,voo archive|footwear
,,,,,,,,42,,,,,SS24,124,,Acne Studios,AC,,Sneakers,14,,Silver,14,,,,,,voo archive|footwear
,,,,,,,,,,,,,AW24,224,,Acqua di Parma,07,,Shoes,15,,Gold,15,,,,,,voo archive|footwear
,,,,,,,,,,,,,CarryOver,300,,Adidas,AD,,Boots,16,,Multi,16,,,,,,voo archive|footwear
,,,,,,,,,,,,,Archive,400,,Adidas by Kanye West,08,,Heels,17,,,,,,,,,
,,,,,,,,,,,,,,,,Adidas by Raf Simons,09,,Sandals,18,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Adieu,10,,Bags,19,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Adish,11,,Jewellery,26,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,AER Scents,12,,Hats,20,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Aesop,AE,,Scarves and Gloves,21,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,AFFXWRKS,AX,,Socks,22,,,,,,,,,
,,,,,,,,,,,,,,,,Air Berlin,13,,Belts,23,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Alaska,AL,,Wallets,24,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Aliita,14,,Eyewear,25,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,All_Blues,15,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Alled-Martinez,AM,,Fragrances,27,,,,,,,,,
,,,,,,,,,,,,,,,,Amaze,16,,Skincare,28,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,AMI Alexandre Mattiussi,17,,Candles and Home Scents,29,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,AMOMENTO,18,,Glassware and Vases,30,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Ancuta Sarca,AN,,Ceramics,31,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Andy Wolf,19,,Textiles,32,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Anne Isabella,AI,,Stationery,33,,,,,,,,,
,,,,,,,,,,,,,,,,Anne Manns,20,,Wellness,34,,,,,,,,,voo archive|bags
,,,,,,,,,,,,,,,,ANOTHER ASPECT,AA,,Pets,35,,,,,,,,,
,,,,,,,,,,,,,,,,Apartamento,AO,,Lifestyle,36,,,,,,,,,voo archive|bags
,,,,,,,,,,,,,,,,Apotheke Perfume,21,,Gift Card,37,,,,,,,,,
,,,,,,,,,,,,,,,,Après Ski,AW,,,,,,,,,,,,voo archive|bags
,,,,,,,,,,,,,,,,archaic studio,22,,Magazines,38,,,,,,,,,
,,,,,,,,,,,,,,,,ARCS,AR,,Books,39,,,,,,,,,voo archive|accessories
,,,,,,,,,,,,,,,,Art of Scribble,23,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Art Paper Editions,PE,,,,,,,,,,,,voo archive|accessories
,,,,,,,,,,,,,,,,Asai,24,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ASICS,AS,,,,,,,,,,,,voo archive|accessories
,,,,,,,,,,,,,,,,Astier de Villatte,AV,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Atelier Oblique,25,,,,,,,,,,,,voo archive|clothing
,,,,,,,,,,,,,,,,AthleticsFTWR,AF,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Badland Magazine,BL,,,,,,,,,,,,voo archive|clothing
,,,,,,,,,,,,,,,,Baserange,BR,,,,,,,,,,,,
,,,,,,,,,,,,,,,,BD Barcelona,BD,,,,,,,,,,,,voo archive|clothing
,,,,,,,,,,,,,,,,Beaufille,26,,,,,,,,,,,,voo archive|clothing
,,,,,,,,,,,,,,,,Berliner Brandstifter,BB,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Berliner Winter,BW,,,,,,,,,,,,voo archive|clothing
,,,,,,,,,,,,,,,,Birkenstock,BS,,,,,,,,,,,,voo archive|clothing
,,,,,,,,,,,,,,,,BIS Publishers,BP,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Blake & Vargas,27,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Blumarine,BM,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Blumenbar,BU,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Bode,BE,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Bom Dia Books,DB,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Bon Parfumeur,BO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Books,BK,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Brosbi,28,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,BrunoAdrien,BA,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,BUFFALO Source,29,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,BY FAR,BF,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Byredo,BY,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Cabinet Magazine,30,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Carhartt WIP,CH,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Carl Aub√∂ck,31,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Carne Bollente,CB,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Carven,32,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Catzorange,33,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,CDLP,34,,,,,,,,,,,,
,,,,,,,,,,,,,,,,CERAMICS,CE,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Champion,CP,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Chanel,CA,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Charlotte Knowles,CK,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Chi Ceramic,CC,,,,,,,,,,,,voo archive|footwear
,,,,,,,,,,,,,,,,Chopova Lowena,CL,,,,,,,,,,,,voo archive|footwear
